"","participant","group","label","det","phase_space","lag"
"384","206","Random","det_4back_trial",0.94685947287132,"trial","4back"
"385","207","Blocked","det_1back_target",0.995031695695678,"target","1back"
"386","207","Blocked","det_2back_target",0.985851897777579,"target","2back"
"387","207","Blocked","det_3back_target",0.973036271229979,"target","3back"
"388","207","Blocked","det_4back_target",0.959289391541934,"target","4back"
"389","207","Blocked","det_1back_trial",0.993971220712552,"trial","1back"
"390","207","Blocked","det_2back_trial",0.983556909617124,"trial","2back"
"391","207","Blocked","det_3back_trial",0.96975521711343,"trial","3back"
"392","207","Blocked","det_4back_trial",0.954299276710642,"trial","4back"
"393","208","Random","det_1back_target",0.984911230996054,"target","1back"
"394","208","Random","det_2back_target",0.961441777581693,"target","2back"
"395","208","Random","det_3back_target",0.943375217942497,"target","3back"
"396","208","Random","det_4back_target",0.92643760546171,"target","4back"
"397","208","Random","det_1back_trial",0.952131576110815,"trial","1back"
"398","208","Random","det_2back_trial",0.916232597262802,"trial","2back"
"399","208","Random","det_3back_trial",0.885493155828783,"trial","3back"
"400","208","Random","det_4back_trial",0.857448008883594,"trial","4back"
"401","209","Blocked","det_1back_target",0.997020270418438,"target","1back"
"402","209","Blocked","det_2back_target",0.957760414757516,"target","2back"
"403","209","Blocked","det_3back_target",0.918883583302234,"target","3back"
"404","209","Blocked","det_4back_target",0.884432437672291,"target","4back"
"405","209","Blocked","det_1back_trial",0.997347631402352,"trial","1back"
"406","209","Blocked","det_2back_trial",0.95620427482147,"trial","2back"
"407","209","Blocked","det_3back_trial",0.917653304394661,"trial","3back"
"408","209","Blocked","det_4back_trial",0.884460556291924,"trial","4back"
"409","210","Random","det_1back_target",0.974853382136205,"target","1back"
"410","210","Random","det_2back_target",0.925050115794735,"target","2back"
"411","210","Random","det_3back_target",0.875695888967133,"target","3back"
"412","210","Random","det_4back_target",0.841371797466495,"target","4back"
"413","210","Random","det_1back_trial",0.993033778027711,"trial","1back"
"414","210","Random","det_2back_trial",0.934257748643919,"trial","2back"
"415","210","Random","det_3back_trial",0.866102201096934,"trial","3back"
"416","210","Random","det_4back_trial",0.805676670359123,"trial","4back"
"417","211","Blocked","det_1back_target",0.994736786262766,"target","1back"
"418","211","Blocked","det_2back_target",0.98549629451044,"target","2back"
"419","211","Blocked","det_3back_target",0.979991090589394,"target","3back"
"420","211","Blocked","det_4back_target",0.971537161300835,"target","4back"
"421","211","Blocked","det_1back_trial",0.994372374909214,"trial","1back"
"422","211","Blocked","det_2back_trial",0.984715851400573,"trial","2back"
"423","211","Blocked","det_3back_trial",0.978905200992469,"trial","3back"
"424","211","Blocked","det_4back_trial",0.970495623158848,"trial","4back"
"425","212","Random","det_1back_target",0.989306707595393,"target","1back"
"426","212","Random","det_2back_target",0.980337288984159,"target","2back"
"427","212","Random","det_3back_target",0.950960311043693,"target","3back"
"428","212","Random","det_4back_target",0.923744153878667,"target","4back"
"429","212","Random","det_1back_trial",0.999822120450466,"trial","1back"
"430","212","Random","det_2back_trial",0.994466757986912,"trial","2back"
"431","212","Random","det_3back_trial",0.985084850317163,"trial","3back"
"432","212","Random","det_4back_trial",0.971964097468944,"trial","4back"
"433","213","Blocked","det_1back_target",0.992181385093426,"target","1back"
